date,steps
2021-03-17,54
2021-03-18,96
2021-03-19,184
2021-03-20,5125
2021-03-21,1599
2021-03-22,1605
2021-03-23,1163
2021-03-24,317
2021-03-25,5839
2021-03-26,6056
2021-03-27,378
2021-03-28,1112
2021-03-29,270
2021-03-30,373
2021-03-31,63
2021-04-01,16
2021-04-02,1065
2021-04-03,72
2021-04-04,227
2021-04-06,118
2021-04-07,1336
2021-04-08,1268
2021-04-10,1802
2021-04-11,63
2021-04-12,1297
2021-04-13,10
2021-04-14,272
2021-04-15,68
2021-04-16,123
2021-04-17,743
2021-04-18,3970
2021-04-19,379
2021-04-20,210
2021-04-21,1545
2021-04-22,114
2021-04-23,100
2021-04-24,5875
2021-04-25,256
2021-04-27,16
2021-04-29,96
2021-04-30,186
2021-05-01,1152
2021-05-02,119
2021-05-03,70
2021-05-04,593
2021-05-05,50
2021-05-06,743
2021-05-07,143
2021-05-08,229
2021-05-09,146
2021-05-10,167
2021-05-11,144
2021-05-12,93
2021-05-13,2646
2021-05-14,2643
2021-05-15,9789
2021-05-16,4286
2021-05-17,3740
2021-05-18,469
2021-05-19,2322
2021-05-20,1680
2021-05-21,464
2021-05-22,147
2021-05-23,12065
2021-05-24,277
2021-05-25,512
2021-05-26,8257
2021-05-27,1819
2021-05-28,5324
2021-05-29,10389
2021-05-30,9214
2021-05-31,146
2021-06-01,7340
2021-06-02,2570
2021-06-03,2810
2021-06-04,1140
2021-06-05,3365
2021-06-06,3953
2021-06-07,1504
2021-06-08,7034
2021-06-09,369
2021-06-10,1361
2021-06-11,4440
2021-06-12,22823
2021-06-13,22453
2021-06-14,176
2021-06-15,235
2021-06-16,5330
2021-06-17,9191
2021-06-18,7095
2021-06-19,18279
2021-06-20,15601
2021-06-21,5146
2021-06-22,5328
2021-06-23,11665
2021-06-24,6551
2021-06-25,7229
2021-06-26,19939
2021-06-27,9197
2021-06-28,5021
2021-06-29,6639
2021-06-30,9315
2021-07-01,4735
2021-07-02,3962
2021-07-03,11557
2021-07-04,24805
2021-07-05,10750
2021-07-06,16
2021-07-07,3236
2021-07-08,3288
2021-07-09,2318
2021-07-10,20077
2021-07-11,21482
2021-07-12,36
2021-07-13,6548
2021-07-14,5390
2021-07-15,4851
2021-07-16,3287
2021-07-17,24151
2021-07-18,19009
2021-07-19,2327
2021-07-20,2684
2021-07-21,5235
2021-07-22,7532
2021-07-23,3394
2021-07-24,14193
2021-07-25,3397
2021-07-26,3685
2021-07-27,7985
2021-07-28,5624
2021-07-29,8373
2021-07-30,15521
2021-07-31,21007
2021-08-01,11679
2021-08-02,6470
2021-08-03,4057
2021-08-04,7614
2021-08-05,9607
2021-08-06,5459
2021-08-07,18315
2021-08-08,19481
2021-08-09,5831
2021-08-10,210
2021-08-11,3025
2021-08-12,3310
2021-08-13,5666
2021-08-14,2422
2021-08-15,1645
2021-08-16,774
2021-08-17,549
2021-08-18,1893
2021-08-19,1825
2021-08-20,388
2021-08-21,9414
2021-08-22,9968
2021-08-23,22947
2021-08-24,19512
2021-08-25,5997
2021-08-26,11400
2021-08-27,12227
2021-08-28,9630
2021-08-29,7674
2021-08-30,12061
2021-08-31,5714
2021-09-01,9788
2021-09-02,8733
2021-09-03,11639
2021-09-04,10910
2021-09-05,15390
2021-09-06,9631
2021-09-07,9255
2021-09-08,10605
2021-09-09,12199
2021-09-10,6627
2021-09-11,1766
2021-09-12,667
2021-09-13,11173
2021-09-14,11063
2021-09-15,8163
2021-09-16,5915
2021-09-17,17092
2021-09-18,8970
2021-09-19,6624
2021-09-20,9835
2021-09-21,7620
2021-09-22,8375
2021-09-23,6405
2021-09-24,6329
2021-09-25,2891
2021-09-26,5756
2021-09-27,8846
2021-09-28,6315
2021-09-29,7390
2021-09-30,5652
2021-10-01,15486
2021-10-02,15279
2021-10-03,1554
2021-10-04,9292
2021-10-05,6259
2021-10-06,3558
2021-10-07,4474
2021-10-08,4215
2021-10-09,2033
2021-10-10,2189
2021-10-11,5942
2021-10-12,4312
2021-10-13,703
2021-10-14,652
2021-10-15,4889
2021-10-16,5681
2021-10-17,3029
2021-10-18,4473
2021-10-19,2970
2021-10-20,5354
2021-10-21,1606
2021-10-22,8635
2021-10-23,6247
2021-10-24,5477
2021-10-25,4725
2021-10-26,4144
2021-10-27,4758
2021-10-28,3846
2021-10-29,9879
2021-10-30,11478
2021-10-31,5969
2021-11-01,3746
2021-11-02,6150
2021-11-03,4051
2021-11-04,8280
2021-11-05,11744
2021-11-06,13246
2021-11-07,3408
2021-11-08,702
2021-11-09,3883
2021-11-10,7654
2021-11-11,2447
2021-11-12,8522
2021-11-13,6776
2021-11-14,8142
2021-11-15,3996
2021-11-16,8188
2021-11-17,6099
2021-11-18,4658
2021-11-19,13212
2021-11-20,8255
2021-11-21,10661
2021-11-22,2665
2021-11-23,3134
2021-11-24,7294
2021-11-25,4481
2021-11-26,1532
2021-11-27,2339
2021-11-28,2815
2021-11-29,3068
2021-11-30,7218
2021-12-01,9359
2021-12-02,6946
2021-12-03,17643
2021-12-04,12836
2021-12-05,12208
2021-12-06,10229
2021-12-07,18859
2021-12-08,5851
2021-12-09,9937
2021-12-10,11646
2021-12-11,10414
2021-12-12,6063
2021-12-13,1375
2021-12-14,2775
2021-12-15,2781
2021-12-16,2553
2021-12-17,21408
2021-12-18,8482
2021-12-19,7344
2021-12-20,648
2021-12-21,251
2021-12-22,6514
2021-12-23,2532
2021-12-24,385
2021-12-25,1918
2021-12-26,6634
2021-12-27,2711
2021-12-28,1329
2021-12-29,1137
2021-12-30,517
2021-12-31,836
2022-01-01,4484
2022-01-02,7663
2022-01-03,776
2022-01-04,7792
2022-01-05,1654
2022-01-06,132
2022-01-07,2374
2022-01-08,675
2022-01-09,2550
2022-01-10,2294
2022-01-11,9997
2022-01-12,5825
2022-01-13,654
2022-01-14,149
2022-01-15,116
2022-01-16,3380
2022-01-17,4716
2022-01-18,8436
2022-01-19,3784
2022-01-20,5484
2022-01-21,5815
2022-01-22,4172
2022-01-23,2977
2022-01-24,2322
2022-01-25,4790
2022-01-26,5612
2022-01-27,3941
2022-01-28,2755
2022-01-29,10873
2022-01-30,8257
2022-01-31,7461
2022-02-01,10338
2022-02-02,9075
2022-02-03,8180
2022-02-04,9942
2022-02-05,4722
2022-02-06,14473
2022-02-07,3752
2022-02-08,12965
2022-02-09,13820
2022-02-10,11460
2022-02-11,8850
2022-02-12,8045
2022-02-13,5473
2022-02-14,14190
2022-02-15,11782
2022-02-16,9447
2022-02-17,12630
2022-02-18,7732
2022-02-19,3830
2022-02-20,3001
2022-02-21,8022
2022-02-22,4384
2022-02-23,13502
2022-02-24,11190
2022-02-25,11125
2022-02-26,7614
2022-02-27,3371
2022-02-28,1864
2022-03-01,4465
2022-03-02,11809
2022-03-03,2549
2022-03-04,9426
2022-03-05,7954
2022-03-06,17931
2022-03-07,9475
2022-03-08,9654
2022-03-09,11502
2022-03-10,5225
2022-03-11,8974
2022-03-12,1163
2022-03-13,8234
2022-03-14,6159
2022-03-15,9638
2022-03-16,8127
2022-03-17,9869
2022-03-18,2934
2022-03-19,6371
2022-03-20,3139
2022-03-21,2537
2022-03-22,1923
2022-03-23,1449
2022-03-24,306
2022-03-25,7512
2022-03-26,1102
2022-03-27,4810
2022-03-28,6782
2022-03-29,7869
2022-03-30,8546
2022-03-31,5231
2022-04-01,9606
2022-04-02,3225
2022-04-03,5549
2022-04-04,3672
2022-04-05,9639
2022-04-06,3949
2022-04-07,6447
2022-04-08,16122
2022-04-09,6566
2022-04-10,7536
2022-04-11,7435
2022-04-12,3532
2022-04-13,8125
2022-04-14,4141
2022-04-15,8089
2022-04-16,5282
2022-04-17,15186
2022-04-18,8364
2022-04-19,5142
2022-04-20,8797
2022-04-21,2389
2022-04-22,569
2022-04-23,3299
2022-04-24,8800
2022-04-25,6532
2022-04-26,6148
2022-04-27,9510
2022-04-28,9175
2022-04-29,11520
2022-04-30,8293
2022-05-01,6831
2022-05-02,5972
2022-05-03,4840
2022-05-04,8892
2022-05-05,5860
2022-05-06,8129
2022-05-07,8299
2022-05-08,5382
2022-05-09,3884
2022-05-10,7150
2022-05-11,2399
2022-05-12,6384
2022-05-13,2183
2022-05-14,11769
2022-05-15,8244
2022-05-16,6320
2022-05-17,3516
2022-05-18,3397
2022-05-19,1685
2022-05-20,10743
2022-05-21,9153
2022-05-22,5783
2022-05-23,5160
2022-05-24,4466
2022-05-25,12147
2022-05-26,6159
2022-05-27,20204
2022-05-28,10448
2022-05-29,5574
2022-05-30,9808
2022-05-31,5419
2022-06-01,347
2022-06-02,2297
2022-06-03,6213
2022-06-04,12211
2022-06-05,7803
2022-06-06,441
2022-06-07,297
2022-06-08,3728
2022-06-09,5552
2022-06-10,6733
2022-06-11,6181
2022-06-12,11059
2022-06-13,4183
2022-06-14,1621
2022-06-15,993
2022-06-16,2125
2022-06-17,490
2022-06-18,9745
2022-06-19,6027
2022-06-20,3765
2022-06-21,2772
2022-06-22,207
2022-06-23,2857
2022-06-24,3826
2022-06-25,15536
2022-06-26,9145
2022-06-27,3870
2022-06-28,563
2022-06-29,136
2022-06-30,2220
2022-07-01,1961
2022-07-02,13801
2022-07-03,6905
2022-07-04,3222
2022-07-05,2619
2022-07-06,381
2022-07-07,5753
2022-07-08,8083
2022-07-09,1731
2022-07-10,3388
2022-07-11,3286
2022-07-12,2610
2022-07-13,2361
2022-07-14,1342
2022-07-15,1458
2022-07-16,1822
2022-07-17,13719
2022-07-18,1693
2022-07-19,4186
2022-07-20,4913
2022-07-21,758
2022-07-22,4986
2022-07-23,6354
2022-07-24,17455
2022-07-25,345
2022-07-26,4293
2022-07-27,6275
2022-07-28,1238
2022-07-29,7233
2022-07-30,16049
2022-07-31,13580
2022-08-01,1280
2022-08-02,5032
2022-08-03,466
2022-08-04,1579
2022-08-05,1889
2022-08-06,10630
2022-08-07,13147
2022-08-08,99
2022-08-09,6786
2022-08-10,2656
2022-08-11,2054
2022-08-12,3298
2022-08-13,4058
2022-08-14,3652
2022-08-15,4223
2022-08-16,2175
2022-08-17,6685
2022-08-18,309
2022-08-19,264
2022-08-20,9749
2022-08-21,12307
2022-08-22,13323
2022-08-23,13922
2022-08-24,8680
2022-08-25,7698
2022-08-26,8145
2022-08-27,7310
2022-08-28,4873
2022-08-29,7057
2022-08-30,14354
2022-08-31,13827
2022-09-01,12301
2022-09-02,5707
2022-09-03,3348
2022-09-04,8356
2022-09-05,5258
2022-09-06,6972
2022-09-07,7947
2022-09-08,1919
2022-09-09,10014
2022-09-10,1196
2022-09-11,10328
2022-09-12,4604
2022-09-13,10307
2022-09-14,8814
2022-09-15,12003
2022-09-16,5813
2022-09-17,7603
2022-09-18,1025
2022-09-19,5749
2022-09-20,13652
2022-09-21,6150
2022-09-22,7360
2022-09-23,13826
2022-09-24,3665
2022-09-25,6774
2022-09-26,2552
2022-09-27,14424
2022-09-28,12474
2022-09-29,8694
2022-09-30,5102
2022-10-01,3141
2022-10-02,1639
2022-10-03,9916
2022-10-04,8793
2022-10-05,5918
2022-10-06,6701
2022-10-07,3277
2022-10-08,2501
2022-10-09,2389
2022-10-10,633
2022-10-11,10021
2022-10-12,1096
2022-10-13,9494
2022-10-14,5537
2022-10-15,2108
2022-10-16,2494
2022-10-17,8147
2022-10-18,7915
2022-10-19,8277
2022-10-20,5806
2022-10-21,12356
2022-10-22,2976
2022-10-23,7369
2022-10-24,1761
2022-10-25,11065
2022-10-26,9325
2022-10-27,8244
2022-10-28,11760
2022-10-29,9612
2022-10-30,3172
2022-10-31,2320
2022-11-01,10804
2022-11-02,2378
2022-11-03,6716
2022-11-04,8527
2022-11-05,3402
2022-11-06,6329
2022-11-07,11047
2022-11-08,12112
2022-11-09,7741
2022-11-10,6750
2022-11-11,9991
2022-11-12,3013
2022-11-13,8488
2022-11-14,6640
2022-11-15,6818
2022-11-16,7313
2022-11-17,6621
2022-11-18,10967
2022-11-19,10497
2022-11-20,8370
2022-11-21,5487
2022-11-22,8202
2022-11-23,8028
2022-11-24,4814
2022-11-25,1846
2022-11-26,3754
2022-11-27,4731
2022-11-28,6021
2022-11-29,6520
2022-11-30,10469
2022-12-01,7347
2022-12-02,13991
2022-12-03,1430
2022-12-04,2952
2022-12-05,4515
2022-12-06,6481
2022-12-07,2179
2022-12-08,2168
2022-12-09,5603
2022-12-10,7415
2022-12-11,2731
2022-12-12,8867
2022-12-13,4902
2022-12-14,9248
2022-12-15,5751
2022-12-16,992
2022-12-17,530
